vds,id,vgs,rvoltmeter,temperature,method,score_weight,chart_name,series_name
0,0,0,1.008M,23.8,vds_id,1.0,chart2,Vds:Id@Vgs=0V
5.4m,29u
71.6m,282u
138.7m,404u
177.8m,444u
219m,473u
315m,522u
458m,574u
534m,597u
630m,622u
735m,647u
834m,668u
977m,696u
1.129,724u
1.374,765u
1.603,800u
1.805,829u
2.01,860u
2.28,895u
2.46,920u
2.65,943u
2.93,976u
3.44,1035u
3.72,1067u
4.01,1099u
4.35,1136u
4.62,1165u
4.94,1198u
5.41,1247u
5.96,1305u
6.28,1338u
6.73,1383u
7.19,1430u
7.60,1473u
8.04,1518u
8.48,1563u
8.87,1603u
9.00,1617u
