vds,id,vgs,rvoltmeter,temperature,method,score_weight,chart_name,series_name
0,0,-100.0m,1.008M,23.4,vds_id,1.5,chart2,Vds:Id@Vgs=-100mV
9.0m,13u
36.4m,40u
105.8m,72u
127.8m,78u
159.1m,84u
178.1m,87u
199.2m,91u
222m,94u
298m,103u
384m,111u
461m,117u
553m,125u
658m,133u
724m,137u
801m,143u
872m,147u
985m,154u
1.053,158u
1.179,165u
1.304,172u
1.445,180u
1.555,186u
1.699,193u
1.835,200u
1.977,207u
2.13,216u
2.37,227u
2.64,240u
2.93,254u
3.37,274u
3.71,289u
3.96,301u
4.35,318u
4.58,329u
4.76,337u
5.05,349u
5.44,369u
6.01,395u
6.59,423u
7.21,453u
7.96,490u
8.59,522u
8.89,537u
9.00,542u
