vgd,is,vbat,rvoltmeter,temperature,method,score_weight,chart_name,series_name
-6,0,9.00,1.008M,23.7,vgd_is,1.0,chart1,Vgd:Is (swapped)
-5.000,0
-4.000,0
-3.000,0
-2.000,0
-1.000,0
-378m,0u
-360m,1u
-328m,3u
-309m,5u
-273m,16u
-257m,24u
-242m,35u
-238m,39u
-229m,48u
-211m,73u
-198.4m,95u
-185.7m,124u
-161.3m,197u
-151.3m,235u
-136.9m,301u
-114.0m,430u
-97.1m,546u
-86.4m,631u
-68.4m,788u
-57.0m,899u
-49.0m,982u
-47.7m,996u
-41.6m,1063u
-29.4m,1203u
-22.9m,1284u
-15.3m,1379u
-1.8m,1558u
0,1563u
17.6m,1838u
27.4m,1986u
33.6m,2.10m
54.4m,2.45m
70.4m,2.73m
76.5m,2.84m
95.0m,3.20m
128.3m,3.88m
155.2m,4.47m
171.2m,4.84m
212m,5.83m
231m,6.31m
249m,6.80m
288m,7.90m
329m,9.10m
356m,9.93m
378m,10.62m
415m,11.84m
460m,13.45m
526m,15.95m
578m,18.15m
608m,19.66m
