vgs,id,vbat,rvoltmeter,temperature,method,score_weight,score_max_vgs,chart_name,series_name
-6,0,9.00,1.008M,23.6,vgs_id,1.0,0.25,chart1,Vgs:Id
-5,0
-4,0
-3,0
-2,0
-1,0
-369m,0u
-368m,1u
-307m,6u
-268m,18u
-243m,34u
-239m,37u
-224m,54u
-218m,62u
-211m,72u
-205m,83u
-193m,107u
-186.3m,121u
-183.0m,130u
-161.3m,196u
-149.6m,243u
-131.4m,328u
-125.1m,362u
-118.6m,400u
-93.9m,567u
-81.6m,665u
-69.2m,776u
-54.1m,923u
-38.4m,1092u
-23.5m,1268u
-17.3m,1346u
-16.5m,1358u
-5.1m,1507u
0,1592u
5.9m,1663u
12.1m,1750u
24.3m,1931u
36.6m,2.14m
51.9m,2.40m
67.0m,2.66m
80.8m,2.92m
116.2m,3.61m
177.5m,4.98m
203m,5.58m
279m,7.61m
304m,8.33m
322m,8.87m
331m,9.15m
356m,9.91m
406m,11.50m
439m,12.66m
488m,14.45m
526m,15.90m
593m,18.90m
