vsd,is,vgd,rvoltmeter,temperature,method,score_weight,chart_name,series_name
0,0,0,1.008M,23.5,vsd_is,1.0,chart2,Vsd:Is@Vgd=0V
0.6m,3u
2.7m,14u
10.2m,53u
15.2m,77u
22.9m,113u
34.9m,163u
43.6m,196u
51.3m,222u
62.4m,256u
76.5m,294u
89.3m,323u
110.7m,363u
127.5m,389u
151.1m,417u
172.6m,438u
211m,467u
236m,483u
279m,506u
348m,535u
421m,562u
477m,579u
520m,592u
599m,613u
673m,631u
765m,653u
819m,665u
888m,679u
1.032,706u
1.169,731u
1.294,752u
1.403,770u
1.616,802u
1.851,836u
2.05,867u
2.16,880u
2.35,906u
2.57,933u
2.75,955u
2.98,984u
3.23,1012u
3.64,1058u
4.01,1100u
4.50,1153u
4.83,1187u
5.18,1224u
5.54,1262u
5.96,1306u
6.35,1347u
6.67,1380u
6.96,1410u
7.31,1444u
7.51,1467u
7.88,1504u
8.17,1534u
8.53,1571u
9.00,1620u
