vsd,is,vgd,rvoltmeter,temperature,method,score_weight,chart_name,series_name
0,0,-100.0m,1.008M,23.2,vsd_is,1.0,chart2,Vsd:Is@Vgd=-100mV
7.2m,10u
30.5m,34u
56.5m,52u
90.4m,66u
100.8m,70u
123.0m,75u
147.5m,81u
172.1m,85u
186.3m,87u
239m,94u
269m,98u
308m,102u
339m,105u
383m,109u
415m,112u
449m,115u
507m,119u
534m,121u
584m,125u
673m,132u
773m,138u
867m,144u
1.004,153u
1.087,158u
1.287,169u
1.413,175u
1.536,182u
1.657,188u
1.772,194u
1.919,201u
2.09,211u
2.22,217u
2.47,229u
2.74,241u
2.98,253u
3.35,269u
3.74,287u
4.11,304u
4.35,315u
4.58,325u
4.93,341u
5.22,354u
5.59,371u
6.16,397u
6.62,419u
7.22,448u
7.65,469u
8.06,489u
8.46,509u
8.83,528u
9.00,537u
