vds,id,vgs,rvoltmeter,temperature,method,score_weight,chart_name,series_name
0,0,0,1.008M,24.0,vds_id,1.5,chart2,Vds:Id@Vgs=0V
5.3m,43u
16.7m,130u
37.0m,270u
49.8m,349u
89.3m,550u
127.6m,690u
175.2m,810u
244m,918u
304m,981u
362m,1.029m
409m,1.062m
514m,1.123m
581m,1.156m
650m,1.187m
777m,1.237m
871m,1.271m
969m,1.303m
1.098,1.343m
1.195,1.371m
1.290,1.397m
1.372,1.419m
1.503,1.452m
1.620,1.480m
1.794,1.520m
1.913,1.546m
2.09,1.588m
2.17,1.604m
2.32,1.635m
2.47,1.664m
2.66,1.699m
2.85,1.737m
3.08,1.777m
3.22,1.800m
3.45,1.841m
3.65,1.874m
3.91,1.918m
4.04,1.938m
4.30,1.97m
4.43,2.00m
4.56,2.02m
4.90,2.07m
5.20,2.11m
5.43,2.15m
5.67,2.18m
5.94,2.22m
6.17,2.26m
6.37,2.29m
6.66,2.33m
6.96,2.37m
7.25,2.41m
7.55,2.46m
7.89,2.50m
8.16,2.54m
8.35,2.57m
8.64,2.61m
9.00,2.66m
