vds,id,vgs,rvoltmeter,temperature,method,score_weight,chart_name,series_name
0,0,-70.0m,1.008M,24.0,vds_id,1.0,chart2,Vds:Id@Vgs=-70mV
3.5m,17u
8.6m,39u
23.8m,100u
42.3m,160u
60.7m,209u
92.4m,272u
119.7m,312u
140.4m,337u
167.6m,363u
195.9m,387u
213m,399u
234m,413u
259m,428u
303m,450u
358m,474u
420m,497u
478m,515u
530m,531u
615m,553u
687m,571u
771m,590u
879m,613u
966m,630u
1.098,654u
1.202,671u
1.295,687u
1.451,712u
1.519,722u
1.620,737u
1.732,753u
1.804,763u
1.935,781u
2.06,800u
2.16,813u
2.36,839u
2.55,863u
2.80,893u
2.96,912u
3.28,949u
3.65,991u
4.00,1.029m
4.31,1.063m
4.64,1.098m
5.02,1.138m
5.40,1.177m
5.72,1.209m
6.17,1.257m
6.47,1.288m
6.85,1.326m
7.17,1.360m
7.56,1.400m
7.96,1.440m
8.31,1.475m
8.64,1.510m
9.00,1.547m
