vgd,is,vbat,rvoltmeter,temperature,method,score_weight,chart_name,series_name
-6,0,9.00,1.008M,23.7,vgd_is,1.0,chart1,Vgd:Is (swapped)
-5.000,0
-4.000,0
-3.000,0
-2.000,0
-1.000,0
-449m,0
-438m,1u
-415m,2u
-376m,7u
-357m,12u
-339m,19u
-323m,29u
-290m,65u
-259m,124u
-246m,157u
-222m,244u
-197m,361u
-177.9m,473u
-147.2m,705u
-100.5m,1.175m
-68.1m,1.583m
-42.8m,1.945m
-24.2m,2.25m
-12.7m,2.46m
0,2.67m
27.5m,3.18m
45.8m,3.54m
55.1m,3.73m
58.1m,3.80m
70.4m,4.06m
94.8m,4.60m
131.6m,5.45m
149.9m,5.89m
168.3m,6.37m
195.9m,7.10m
236m,8.24m
267m,9.13m
289m,9.80m
307m,10.36m
