vsd,is,vgd,rvoltmeter,temperature,method,score_weight,chart_name,series_name
0,0,0,1.008M,24.0,vsd_is,1.0,chart2,Vsd:Is@Vgd=0V
4.3m,28u
10.8m,86u
17.8m,138u
26.4m,200u
44.4m,317u
56.4m,388u
84.3m,528u
113.3m,644u
141.6m,732u
176.9m,815u
212m,876u
242m,918u
289m,970u
339m,1014u
419m,1071u
508m,1122u
579m,1157u
663m,1194u
763m,1234u
872m,1273u
1.080,1339u
1.249,1387u
1.380,1422u
1.490,1450u
1.612,1479u
1.783,1518u
1.948,1554u
2.16,1603u
2.33,1639u
2.49,1669u
2.68,1704u
2.91,1746u
3.23,1804u
3.46,1842u
3.86,1908u
4.28,1975u
4.77,2.05m
5.03,2.09m
5.34,2.13m
5.81,2.20m
6.14,2.25m
6.63,2.32m
7.12,2.39m
7.48,2.44m
7.89,2.50m
8.34,2.56m
8.62,2.60m
8.92,2.65m
9.00,2.66m
