vsd,is,vgd,rvoltmeter,temperature,method,score_weight,chart_name,series_name
0,0,-170.0m,1.008M,24.0,vsd_is,1.0,chart2,Vsd:Is@Vgd=-170mV
7.0m,7u
20.1m,18u
35.0m,27u
58.1m,37u
76.6m,44u
108.5m,52u
147.2m,60u
191.9m,67u
284m,79u
363m,86u
413m,90u
481m,96u
550m,101u
641m,107u
727m,112u
797m,117u
950m,126u
1.063,132u
1.181,138u
1.313,145u
1.428,151u
1.543,156u
1.686,163u
1.873,172u
2.02,180u
2.16,186u
2.46,200u
2.72,212u
3.04,226u
3.45,244u
3.87,263u
4.30,282u
4.77,303u
5.17,321u
5.52,337u
5.84,351u
6.25,370u
6.55,384u
6.89,400u
7.26,417u
7.59,433u
7.94,450u
8.35,471u
8.73,489u
9.00,503u
