vds,id,vgs,rvoltmeter,temperature,method,score_weight,chart_name,series_name
0,0,0,1.008M,24.8,vds_id,1.0,chart2,Vds:Id@Vgs=0V
10.5m,10u
66.4m,65u
120.9m,113u
169.3m,151u
195.5m,170u
256m,210u
303m,237u
364m,268u
429m,295u
504m,319u
587m,339u
743m,360u
889m,370u
997m,375u
1.195,382u
1.385,387u
1.471,389u
1.577,391u
1.657,392u
1.777,394u
2.00,398u
2.14,400u
2.46,403u
2.66,406u
2.96,408u
3.37,412u
3.71,415u
3.96,417u
4.29,419u
4.69,422u
5.13,425u
5.50,427u
5.91,429u
6.40,432u
6.73,434u
7.03,435u
7.51,438u
7.94,440u
8.25,441u
8.68,443u
9.00,445u
