vds,id,vgs,rvoltmeter,temperature,method,score_weight,chart_name,series_name
0,0,-100.0m,1.008M,24.7,vds_id,1.0,chart2,Vds:Id@Vgs=-100mV
6.9m,6u
43.1m,35u
103.3m,80u
150.4m,111u
178.2m,128u
258m,169u
323m,196u
437m,230u
540m,249u
669m,262u
730m,265u
819m,270u
913m,273u
1.000,275u
1.038,276u
1.148,279u
1.319,282u
1.511,285u
1.659,287u
1.810,288u
2.05,291u
2.27,293u
2.66,297u
3.03,299u
3.38,302u
3.79,304u
4.19,307u
4.49,308u
4.90,310u
5.32,312u
5.77,314u
6.29,317u
6.82,319u
7.28,321u
7.69,322u
8.36,325u
9.00,327u
