vgs,id,vbat,rvoltmeter,temperature,method,score_weight,score_max_vgs,chart_name,series_name
-6,0,9.00,1.008M,24.5,vgs_id,1.0,0.25,chart1,Vgs:Id
-5,0
-4,0
-3,0
-2,0
-1,0
-751m,0u
-720m,1u
-702m,2u
-677m,3u
-658m,5u
-634m,7u
-591m,14u
-539m,26u
-499m,38u
-470m,49u
-439m,62u
-415m,73u
-397m,83u
-364m,101u
-341m,115u
-329m,122u
-310m,135u
-283m,154u
-260m,171u
-231m,195u
-224m,201u
-193m,228u
-174m,244u
-156m,262u
-137m,280u
-125m,293u
-107m,312u
-88.1m,332u
-82.0m,339u
-63.6m,359u
-51.3m,374u
-45.3m,381u
-14.7m,418u
-8.5m,426u
0,436u
2.3m,439u
12.4m,453u
30.9m,477u
55.2m,510u
73.6m,536u
92.2m,562u
110.3m,589u
131.9m,622u
150.3m,651u
172.0m,686u
193.0m,720u
204m,737u
222m,769u
252m,822u
295m,901u
314m,937u
350m,1009u
376m,1063u
415m,1147u
480m,1298u
504m,1362u
532m,1440u
556m,1521u
588m,1646u
609m,1756u
627m,1873u
636m,1940u
