vsd,is,vgd,rvoltmeter,temperature,method,score_weight,chart_name,series_name
0,0,0,1.008M,24.8,vsd_is,1.0,chart2,Vsd:Is@Vgd=0V swapped
7.9m,8u
44.0m,44u
79.7m,77u
113.6m,106u
158.1m,142u
220m,186u
288m,228u
344m,256u
466m,304u
580m,332u
705m,349u
855m,361u
1.012,369u
1.129,373u
1.264,377u
1.499,382u
1.729,387u
1.891,390u
2.13,393u
2.42,397u
2.86,402u
3.25,406u
3.51,408u
3.84,411u
4.12,413u
4.33,415u
4.53,416u
4.94,419u
5.33,422u
5.59,423u
6.03,426u
6.58,429u
7.04,432u
7.39,434u
7.83,436u
8.31,439u
8.67,440u
9.00,442u
