vds,id,vgs,rvoltmeter,temperature,method,score_weight,chart_name,series_name
0,0,0,10.2M,25.0,vds_id,1.0,chart2,Vds:Id@Vgs=0V
1m,2u
10m,14u
35m,45u
60m,76u
73m,92u
91m,114u
116m,141u
136m,163u
167m,196u
212m,239u
251m,274u
299m,314u
351m,352u
394m,381u
470m,424u
494m,436u
543m,458u
596m,479u
697m,507u
787m,525u
823m,530u
882m,537u
950m,544u
1.006,549u
1.066,553u
1.146,557u
1.230,561u
1.292,564u
1.379,567u
1.551,573u
1.646,576u
1.773,579u
1.978,583u
2.09,585u
2.18,587u
2.41,591u
2.56,593u
2.74,596u
3.00,599u
3.18,602u
3.44,605u
3.83,609u
4.18,613u
4.60,617u
5.03,620u
5.45,623u
5.90,626u
6.27,629u
6.64,632u
7.11,635u
7.66,638u
8.06,641u
8.40,643u
9.00,646u
