vds,id,vgs,rvoltmeter,temperature,method,score_weight,chart_name,series_name
0,0,-130.0m,10.2M,25.0,vds_id,1.0,chart2,Vds:Id@Vgs=-130mV
11m,13u
85m,85u
112m,110u
159m,149u
193m,175u
225m,198u
256m,219u
312m,251u
377m,284u
452m,314u
555m,342u
595m,350u
627m,356u
709m,366u
773m,373u
830m,377u
934m,383u
981m,385u
1.052,388u
1.138,391u
1.194,393u
1.269,395u
1.348,397u
1.496,400u
1.638,403u
1.798,406u
1.992,408u
2.15,410u
2.28,412u
2.41,414u
2.55,415u
2.73,417u
3.00,419u
3.19,421u
3.35,422u
3.73,425u
4.17,428u
4.66,432u
5.11,434u
5.53,437u
5.97,439u
6.48,442u
6.86,444u
7.20,446u
7.72,448u
8.10,450u
8.55,451u
9.00,453u
