vds,id,vgs,rvoltmeter,temperature,method,score_weight,chart_name,series_name
0,0,-350m,1.008M,25.0,vds_id,1.0,chart2,Vds:Id@Vgs=-350mV
18m,12u
57m,36u
92m,56u
126m,74u
149m,84u
188m,101u
271m,128u
326m,141u
374m,149u
428m,156u
539m,164u
580m,166u
653m,169u
712m,171u
803m,173u
911m,175u
996m,176u
1.091,177u
1.194,179u
1.263,179u
1.384,181u
1.528,182u
1.650,183u
1.792,184u
1.915,185u
2.10,186u
2.23,187u
2.43,188u
2.61,189u
2.90,190u
3.08,191u
3.27,192u
3.51,193u
3.76,193u
3.84,194u
4.15,195u
4.43,196u
4.71,197u
4.98,198u
5.30,199u
5.63,200u
6.06,201u
6.44,202u
6.91,203u
7.29,204u
7.70,205u
8.05,206u
8.48,207u
9.00,208u
