vgd,is,vbat,rvoltmeter,temperature,method,score_weight,chart_name,series_name
-6,0,9.00,10.2M,25.0,vgd_is,1.0,chart1,Vgd:Is swapped
-5.000,0
-4.000,0
-3.000,0
-2.000,0
-1.000,0
-883m,0
-828m,1u
-790m,3u
-740m,8u
-715m,12u
-685m,18u
-642m,29u
-612m,40u
-600m,45u
-578m,54u
-560m,62u
-549m,67u
-524m,80u
-505m,91u
-499m,95u
-478m,108u
-448m,128u
-429m,142u
-405m,160u
-381m,180u
-360m,198u
-335m,220u
-288m,266u
-259m,296u
-228m,330u
-198m,365u
-172m,396u
-153m,421u
-125m,458u
-89m,507u
-69m,534u
-53m,560u
-38m,583u
-22m,608u
-16m,616u
-13m,621u
-7m,630u
0,645u
3m,649u
19m,675u
31m,694u
50m,726u
68m,757u
81m,781u
104m,821u
123m,855u
141m,890u
196m,996u
232m,1072u
256m,1122u
274m,1162u
299m,1216u
311m,1243u
326m,1279u
384m,1417u
402m,1462u
426m,1525u
467m,1633u
529m,1822u
572m,1985u
