vgs,id,vbat,rvoltmeter,temperature,method,score_weight,score_max_vgs,chart_name,series_name
-6,0,9.00,1.008M,24.4,vgs_id,1.0,0.5,chart1,Vgs:Id
-5,0
-4,0
-3,0
-2,0
-1,0
-869m,0
-820m,1u
-796m,3u
-741m,8u
-708m,13u
-683m,19u
-643m,29u
-604m,43u
-555m,64u
-513m,87u
-482m,106u
-446m,130u
-415m,153u
-385m,177u
-342m,214u
-318m,236u
-315m,240u
-286m,268u
-264m,292u
-239m,319u
-187m,380u
-155m,420u
-108m,483u
-85m,516u
-80m,523u
-66m,543u
-51m,566u
-27m,603u
-17m,617u
0,646u
15m,671u
36m,707u
55m,738u
72m,767u
79m,780u
97m,813u
115m,846u
134m,880u
174m,959u
195m,1001u
207m,1025u
240m,1096u
264m,1148u
298m,1222u
322m,1279u
341m,1322u
347m,1337u
383m,1427u
414m,1504u
438m,1568u
457m,1619u
511m,1780u
548m,1909u
554m,1933u
563m,1973u
561m,1973u
