vsd,is,vgd,rvoltmeter,temperature,method,score_weight,chart_name,series_name
0,0,0,10.2M,25.0,vsd_is,1.0,chart2,Vsd:Is@Vgd=0V swapped
3m,4u
27m,35u
52m,67u
82m,103u
108m,132u
142m,169u
171m,199u
205m,232u
267m,288u
321m,330u
383m,374u
472m,425u
567m,467u
662m,497u
751m,517u
840m,531u
958m,543u
1.074,552u
1.228,559u
1.414,566u
1.549,571u
1.717,575u
1.849,578u
2.05,582u
2.20,585u
2.39,588u
2.60,592u
2.78,594u
3.02,597u
3.39,601u
3.95,607u
4.53,613u
5.15,618u
5.70,622u
6.49,628u
7.04,631u
7.48,634u
8.06,637u
8.53,640u
9.00,643u

