vsd,is,vgd,rvoltmeter,temperature,method,chart_name,series_name
0,0,-130.0m,10.2M,25.0,vsd_is,chart2,Vsd:Is@Vgd=-130mV swapped
18m,19u
56m,58u
106m,104u
153m,144u
201m,181u
281m,234u
343m,267u
412m,298u
462m,316u
500m,328u
571m,345u
684m,363u
765m,371u
824m,376u
909m,381u
999m,385u
1.111,389u
1.235,392u
1.345,395u
1.448,398u
1.528,399u
1.604,401u
1.717,403u
1.797,404u
1.893,405u
2.02,407u
2.17,408u
2.37,412u
2.70,415u
2.96,417u
3.35,421u
3.73,423u
4.05,426u
4.32,427u
4.72,430u
5.08,432u
5.56,435u
6.05,438u
6.36,439u
6.84,441u
7.41,444u
7.90,446u
8.45,449u
9.00,451u
