vsd,is,vgd,rvoltmeter,temperature,method,score_weight,chart_name,series_name
0,0,-350.0m,10.2M,25.0,vsd_is,1.0,chart2,Vsd:Is@Vgd=-350mV swapped
7m,5u
45m,29u
93m,57u
165m,91u
207m,108u
238m,118u
266m,126u
305m,136u
333m,142u
369m,148u
465m,159u
533m,163u
608m,166u
681m,169u
774m,172u
839m,173u
901m,174u
960m,175u
1.046,176u
1.158,177u
1.269,179u
1.402,180u
1.652,182u
1.844,183u
1.972,184u
2.10,185u
2.30,186u
2.45,187u
2.69,188u
2.91,189u
3.42,191u
3.70,192u
3.89,193u
4.16,194u
4.57,195u
4.94,196u
5.23,197u
5.53,198u
5.86,199u
6.19,200u
6.78,201u
7.12,202u
7.54,203u
7.92,204u
8.34,205u
9.00,206u
